x,y,color,Model Size,Training FLOP,hex_color,loss
154.03592,140.63364,#faebdd,7020236363.826539,9.993852799709755e+18,#faebdd,5.005581996196243
151.60375,175.51709,#f8d1b8,3108860840.457508,9.227541223049181e+18,#f8d1b8,4.665232074214
153.29233,180.65761,#f47a54,2757221487.8656025,9.753046550244106e+18,#f47a54,3.7655629197937
152.88216,186.78615,#f47d57,2389585584.077261,9.62270802690676e+18,#f47d57,3.793872243318985
153.35068,192.24076,#ed503e,2103816216.4215539,9.77173114380632e+18,#ed503e,3.446995430227908
151.13178,198.50415,#eb483e,1817570351.4277592,9.08578900048968e+18,#eb483e,3.395737776160633
223.29648,175.51709,#931c5b,3108860840.457508,9.691016918183068e+19,#931c5b,2.628284835801397
223.74805,180.65761,#8c1d5b,2757221487.8656025,9.8356280085446e+19,#8c1d5b,2.585322489772079
223.30214,192.24076,#8b1d5b,2103816216.4215539,9.69281625689239e+19,#8b1d5b,2.577587469373751
223.67638,198.50415,#891e5b,1817570351.4277592,9.8125331160455e+19,#891e5b,2.566031188935832
150.19669,196.98505,#ec4a3e,1883199408.2868478,8.811341299700383e+18,#ec4a3e,3.4059279641864753
153.27159,201.58304,#e53940,1691486114.713547,9.746413883769387e+18,#e53940,3.2856379825927915
153.18999,206.59757,#dd2c45,1504584086.551564,9.720361902576556e+18,#dd2c45,3.1838780021322792
152.135,211.74208,#d82748,1334278148.9320216,9.389745074057572e+18,#d82748,3.131833845205492
223.40647,196.98505,#8b1d5b,1883199408.2868478,9.72604311906606e+19,#8b1d5b,2.577587469373751
223.57047,211.74208,#871e5b,1334278148.9320216,9.778503990571031e+19,#871e5b,2.554520985765487
152.68024,216.04328,#d5224a,1206780341.6132486,9.559185749312727e+18,#d5224a,3.094521210858053
152.86704,220.95427,#d2204c,1076034622.4297264,9.617936820167483e+18,#d2204c,3.07143034313885
151.81705,230.29257,#cf1e4d,865221384.8618761,9.292327618897863e+18,#cf1e4d,3.048504933511402
152.1268,241.10602,#ca1a50,672154110.5655204,9.387219872346272e+18,#ca1a50,2.998680336233436
151.87633,244.27504,#c81951,624211929.8610235,9.310413589986861e+18,#c81951,2.9852294397432493
151.5757,246.81012,#c81951,588334082.8795372,9.219055166720771e+18,#c81951,2.9852294397432493
152.15343,257.9477,#c51852,453605847.2395696,9.395423098256298e+18,#c51852,2.962954091342755
221.84296,216.04326,#871e5b,1206780905.1880755,9.239820734235677e+19,#871e5b,2.554520985765487
223.13108,220.95426,#861e5b,1076034873.6875288,9.638582780528e+19,#861e5b,2.546878120316004
222.41411,230.29256,#891e5b,865221586.8940593,9.414553761078442e+19,#891e5b,2.566031188935832
220.78783,241.106,#891e5b,672154424.4661723,8.92550747421947e+19,#891e5b,2.566031188935832
220.89154,244.27503,#8c1d5b,624212075.6166656,8.955921875825392e+19,#8c1d5b,2.585322489772079
219.15384,246.8101,#8b1d5b,588334357.6356528,8.459725377977074e+19,#8b1d5b,2.577587469373751
220.83113,257.9477,#8e1d5b,453605847.2395696,8.938193222414103e+19,#8e1d5b,2.5969714788717795
135.74054,246.8101,#dd2c45,588334357.6356528,5.484159150896782e+18,#dd2c45,3.1838780021322792
136.35953,257.9477,#d72549,453605847.2395696,5.596644720489731e+18,#d72549,3.122463718742479
186.43578,196.98503,#b41658,1883200287.7540898,2.8925320644970627e+19,#b41658,2.836974331044393
185.97084,201.58303,#b21758,1691486509.681402,2.848754204723974e+19,#b21758,2.8242551231206
186.55135,206.59755,#af1759,1504584789.2028134,2.9035179114482905e+19,#af1759,2.8031746497396575
186.7596,211.74207,#aa185a,1334278460.4905798,2.9234191671389647e+19,#aa185a,2.7697776574701383
207.96921,201.58303,#981b5b,1691486509.681402,5.861759895011209e+19,#981b5b,2.6599757580335908
207.71273,206.59755,#981b5b,1504584789.2028134,5.812652960869033e+19,#981b5b,2.6599757580335908
207.94023,211.74207,#971c5b,1334278460.4905798,5.856190515229448e+19,#971c5b,2.6480441566036577
